"KEY","MAKE","BREAK"
"`~ ","0x1","0x81"
"1! ","0x2","0x82"
"2@ ","0x3","0x83"
"3# ","0x4","0x84"
"4$ ","0x5","0x85"
"5%","0x6","0x86"
"6^ ","0x7","0x87"
"7& ","0x8","0x88"
"8* ","0x9","0x89"
"9( ","0xA","0x8A"
"0) ","0xB","0x8B"
"-_ ","0xC","0x8C"
"=+ ","0xD","0x8D"
"BS ","0xF","0x8F"
"Tab ","0x10","0x90"
"Q ","0x11","0x91"
"W ","0x12","0x92"
"E ","0x13","0x93"
"R ","0x14","0x94"
"T ","0x15","0x95"
"Y ","0x16","0x96"
"U ","0x17","0x97"
"I ","0x18","0x98"
"O ","0x19","0x99"
"P ","0x1A","0x9A"
"[{ ","0x1B","0x9B"
"]} ","0x1C","0x9C"
"\| ","0x1D","0x9D"
"Caps ","0x1E","0x9E"
"A ","0x1F","0x9F"
"S ","0x20","0xA0"
"D ","0x21","0xA1"
"F ","0x22","0xA2"
"G ","0x23","0xA3"
"H ","0x24","0xA4"
"J ","0x25","0xA5"
"K ","0x26","0xA6"
"L ","0x27","0xA7"
";: ","0x28","0xA8"
"‘“ ","0x29","0xA9"
"Enter ","0x2B","0xAB"
"L Shift ","0x2C","0xAC"
"Z ","0x2E","0xAE"
"X ","0x2F","0xAF"
"C ","0x30","0xB0"
"V ","0x31","0xB1"
"B ","0x32","0xB2"
"N ","0x33","0xB3"
"M ","0x34","0xB4"
",< ","0x35","0xB5"
".> ","0x36","0xB6"
"/? ","0x37","0xB7"
"R Shift ","0x39","0xB9"
"L Ctrl ","0x3A","0xBA"
"L Alt ","0x3C","0xBC"
"Space ","0x3D","0xBD"
"R Alt ","0x3E","0xBE"
"R Ctrl ","0x40","0xC0"
"L Win ","0x46","0xC6"
"R Win ","0x47","0xC7"
"Win APL ","0x48","0xC8"
"Insert ","0x4B","0xCB"
"Delete ","0x4C","0xCC"
"L Arrow ","0x4F","0xCF"
"Home ","0x50","0xD0"
"End ","0x51","0xD1"
"Up Arrow ","0x53","0xD3"
"Dn Arrow ","0x54","0xD4"
"Page Up ","0x55","0xD5"
"Page Dn ","0x56","0xD6"
"R Arrow ","0x59","0xD9"
"NumLock ","0x5A","0xDA"
"7 (Num) ","0x5B","0xDB"
"4 (Num) ","0x5C","0xDC"
"1 (Num) ","0x5D","0xDD"
"/ (Num) ","0x5F","0xDF"
"8 (Num) ","0x60","0xE0"
"5 (Num) ","0x61","0xE1"
"2 (Num) ","0x62","0xE2"
"0 (Num) ","0x63","0xE3"
"* (Num) ","0x64","0xE4"
"9 (Num) ","0x65","0xE5"
"6 (Num) ","0x66","0xE6"
"3 (Num) ","0x67","0xE7"
". (Num) ","0x68","0xE8"
"- (Num) ","0x69","0xE9"
"+ (Num) ","0x6A","0xEA"
"Enter (Num) ","0x6C","0xEC"
"Esc ","0x6E","0xEE"
"F1 ","0x70","0xF0"
"F2 ","0x71","0xF1"
"F3 ","0x72","0xF2"
"F4 ","0x73","0xF3"
"F5 ","0x74","0xF4"
"F6 ","0x75","0xF5"
"F7 ","0x76","0xF6"
"F8 ","0x77","0xF7"
"F9 ","0x78","0xF8"
"F10 ","0x79","0xF9"
"F11 ","0x7A","0xFA"
"F12 ","0x7B","0xFB"
"Prt Scr ","0x7C","0xFC"
"Scrl Lk ","0x7D","0xFD"
"Pause/Break ","0x7E","0xFE"
